page 70.txt,0,"TERMOS DE USO E POLÍTICA DE PRIVACIDADE
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
page 70.txt,1,"Aqui, ética e integridade são coisa séria
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
page 70.txt,2,"Nós queremos que você tenha uma relação saudável com o seu dinheiro. Por isso, apresentamos uma versão simplificada dos nossos Termos de Uso e Política de Privacidade (“Termos”), com linguagem mais acessível e menos “juridiquês”. Assim, Você consegue cuidar de sua saúde financeira sem complicação.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
page 70.txt,3,"
Por meio destes Termos, o Banco C6 S.A., sociedade anônima, com sede na cidade de São Paulo, Estado de São Paulo, na Avenida Nove de Julho 3.186, Jardim Paulista, inscrito no CNPJ sob o nº 31.872.495/0001-72 (“C6 Bank”) estabelece as condições para a utilização de sua plataforma digital (a “Plataforma”), que poderá ser acessada por seus usuários (“Você”), por meio da Internet.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
page 70.txt,4,"
Você compreende que, a fim de atender às suas necessidades e lhe conferir maior segurança, a Plataforma está sujeita a contínuo aprimoramento, do mesmo modo que estes Termos, os quais estarão sempre disponíveis em nossa Plataforma. Assim, Você entende ser de sua exclusiva responsabilidade consultar estes Termos de tempos em tempos, a fim de verificar se está de acordo com as suas atualizações.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
page 70.txt,5,"
1. Aceite dos Termos
1.1. Ao acessar a Plataforma, Você deverá ler o conteúdo destes Termos, e se estiver de acordo com as condições apresentadas, manifestar o seu consentimento livre, expresso, informado e inequívoco, por meio da seleção do checkbox correspondente à opção “Li e concordo com os Termos de Uso e Políticas de Privacidade”. Tal consentimento poderá ser revogado a qualquer momento, por meio de um de nossos Canais de Atendimento indicados na Cláusula 20 destes Termos, ok? Entretanto, ao revogar o seu consentimento, Você compreende que isto poderá restringir, suspender ou cancelar alguns dos serviços ofertados pelo C6 Bank. De todo modo, assim que o C6 Bank receber sua solicitação, seus dados pessoais serão excluídos, exceto caso o armazenamento destes dados decorra de obrigação legal.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
page 70.txt,6,"
2. Cadastro
2.1 Para realizar o seu cadastro e utilizar as funcionalidades da Plataforma, Você deverá fornecer seus dados cadastrais, como por exemplo: (i) Nome Social; (ii) Email; (iii) CPF; (iv) Número de Celular; (v) RG/CNH; (vi) Endereço; (vii) País; (viii) Renda mensal; (ix) Declaração de Pessoa Exposta Politicamente; (x) Sexo; (xi) Estado Civil; (xii) Nome do Cônjuge ou Companheiro, se existente; (xiii) Patrimônio; (xiv) Profissão; (xv) Nome da mãe; (xvi) Data e Local de Nascimento; (xvii) Nacionalidade e (xviii) Selfie (foto de seu próprio rosto) e prova de vida (dados biométricos).","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
page 70.txt,7,"
2.2 Lembre-se que Você é responsável pela veracidade e atualidade dos dados cadastrais informados. É importante que eles estejam corretos e atualizados para que não ocorram problemas de acesso à Plataforma. Quaisquer prejuízos havidos em decorrência da inclusão de informações inverídicas ou desatualizadas, na Plataforma, será de sua única e exclusiva responsabilidade.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
page 70.txt,8,"
2.2.1 Para garantir a veracidade de suas informações, Você autoriza o C6 Bank a realizar buscas em bureaus públicos e privados para a apuração de eventuais dados pessoais incorretos, e a solicitar dados pessoais e/ou documentos adicionais, se entender pertinente. Você compreende que, a depender do resultado de tais consultas, o C6 Bank poderá recusar a abertura da conta ou a contratação de produtos e serviços; e
2.2.2 Caso o C6 Bank constate a existência de dados pessoais incorretos, inverídicos e/ou desatualizados, e não seja possível a sua regularização, ou, ainda, caso Você se negue a fornecer eventuais dados pessoais adicionais, se solicitados, o C6 Bank poderá suspender, temporária ou definitivamente, o seu acesso à Plataforma, a seu exclusivo critério, sem prejuízo de outras medidas que entender aplicáveis.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
page 70.txt,9,"
2.3 Você também é responsável pela guarda, sigilo e utilização do login e senhas cadastrados, que possuem caráter pessoal e intransferível. Deste modo, nunca compartilhe seus dados de acesso com outras pessoas, pois qualquer prejuízo sofrido em decorrência de tal divulgação será de sua responsabilidade.
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
